ATSc2	0.03164106109465621
ETA_Eta_R	0.02732588278496241
ETA_Eta_R_L	0.026508860035278144
ECCEN	0.025848808835888634
apol	0.025779760843637898
ETA_Eta_F_L	0.02386892744743523
MLFER_L	0.023491265632952337
ATSm3	0.02305826735468197
SP-0	0.021552166777671706
Kier2	0.018457316076617776
SHother	0.01769456026907905
maxssssC	0.017207277109675935
SP-1	0.0168036766786422
ETA_Shape_X	0.015952385536604257
bpol	0.015912240758190623
MLFER_BH	0.015849109541450315
C2SP2	0.014881354691972
SP-2	0.014836902579286784
SPC-6	0.014587698986654137
VC-4	0.014582230022375358
